project_name,team_pct,investor_pct,insider_pct,distributed_pct
FluidLend Protocol,20.0,5.0,25.0,75.0
SynthSwap DEX,25.0,0,35.0,65.0
YieldFarm Collective,17.0,15.0,35.0,65.0
StableAsset USD,20.0,12.0,32.0,68.0
InsureChain Protocol,15.0,12.0,27.0,73.0
CurveRoute Exchange,10.0,4.0,15.0,85.0
PlayAxis Gaming,25.0,15.0,40.0,60.0
MetaEstate Virtual Realty,25.0,20.0,45.0,55.0
NFTBattle Arena,12.0,15.0,27.0,73.0
EsportsLeague Token,25.0,20.0,45.0,55.0
Layer2Surge Scaling,22.0,6.0,30.0,70.0
OracleSync Network,25.0,0,25.0,75.0
StorageCloud Protocol,20.0,12.0,32.0,68.0
ComputeChain Grid,20.0,0,20.0,80.0
InterChain Bridge,23.0,7.0,40.0,60.0
IdentityChain Trust,30.0,15.0,45.0,55.0
CreatorHub Platform,24.0,10.0,35.0,65.0
SocialChain Network,20.0,12.0,32.0,68.0
MusicRights Token,35.0,15.0,50.0,50.0
StreamFlow Rewards,20.0,15.0,35.0,65.0
NFTMarketX Exchange,30.0,0,40.0,60.0
DataMarket Exchange,20.0,12.0,32.0,68.0
FreelanceDAO Network,25.0,0,25.0,75.0
RealEstate Token,23.0,20.0,45.0,55.0
SupplyChain Verify,28.0,12.0,40.0,60.0
IoTLink Protocol,22.0,0,22.0,78.0
HealthChain Records,30.0,0,30.0,70.0
LearnToken Education,25.0,0,25.0,75.0
EnergySwap Grid,20.0,0,20.0,80.0
CarbonOffset Credits,30.0,10.0,40.0,60.0
GovStack Protocol,30.0,0,40.0,60.0
ArtPlatform Collective,25.0,0,25.0,75.0
MovieFinance Token,24.0,10.0,40.0,60.0
PredictionMarket Hub,25.0,0,25.0,75.0
LiquidityPool Protocol,18.0,15.0,33.0,67.0
TokenBridge Enterprise,25.0,0,30.0,70.0
DeFiCompose Suite,25.0,10.0,35.0,65.0
RiskPool Insurance,18.0,12.0,30.0,70.0
SwapRouter Advanced,30.0,0,30.0,70.0
StakingDerive Finance,15.0,10.0,25.0,75.0
YieldPerp Futures,24.0,0,28.0,72.0
VoteDAO Governance,15.0,15.0,30.0,70.0
AgriChain Supply,18.0,10.0,28.0,72.0
PrivacyVault Network,18.0,12.0,30.0,70.0
TutorChain Education,15.0,15.0,30.0,70.0
SolarGrid Energy,18.0,12.0,30.0,70.0
MedVault Health,20.0,15.0,35.0,65.0
FanToken Sports,18.0,15.0,33.0,67.0
DerivaPro Finance,15.0,15.0,30.0,70.0
MeshNet Wireless,20.0,12.0,32.0,68.0
LendMate Protocol,15.0,20.0,35.0,65.0
SwapFlow DEX,15.0,15.0,30.0,70.0
Vault AI Finance,15.0,10.0,25.0,75.0
CryptoCredit Hub,18.0,15.0,33.0,67.0
FlashSwap Exchange,18.0,10.0,28.0,72.0
StakingMax Protocol,15.0,15.0,30.0,70.0
BridgeChain Tech,18.0,12.0,30.0,70.0
RiskShield Insurance,15.0,12.0,27.0,73.0
TradingLeverage Pro,15.0,12.0,27.0,73.0
CryptoQuest Adventure,18.0,12.0,30.0,70.0
MetaVerse City,18.0,12.0,30.0,70.0
SoulBound Battles,18.0,12.0,30.0,70.0
VRChat Token Platform,15.0,12.0,27.0,73.0
ChampionArena League,18.0,15.0,33.0,67.0
HybridWorld Metaverse,12.0,12.0,24.0,76.0
PixelCraft Studios,18.0,12.0,30.0,70.0
PvP Tournament System,12.0,10.0,22.0,78.0
DualChain Interop,15.0,12.0,27.0,73.0
DataRegistry Protocol,20.0,15.0,35.0,65.0
ValidatorCloud Compute,15.0,12.0,27.0,73.0
RollupSync Scale,15.0,12.0,27.0,73.0
OracleVault Network,18.0,15.0,33.0,67.0
VerifyChain Proofs,18.0,12.0,30.0,70.0
SovereignNode Mesh,18.0,12.0,30.0,70.0
DeFiShield Analytics,15.0,10.0,25.0,75.0
StoryChain Creator,12.0,14.0,27.0,73.0
MusicDAO Collective,18.0,12.0,30.0,70.0
PodcastShare Network,18.0,12.0,30.0,70.0
PhotographyRights Token,15.0,12.0,27.0,73.0
ResearchFund DAO,18.0,15.0,33.0,67.0
CommentaryDAO Consensus,15.0,10.0,25.0,75.0
InfluenceShare Platform,18.0,12.0,30.0,70.0
CommunityVote Protocol,18.0,10.0,28.0,72.0
ArtSale Marketplace,15.0,15.0,30.0,70.0
PhysicalGoods Exchange,18.0,15.0,33.0,67.0
ComputeGig Exchange,15.0,12.0,27.0,73.0
LandTitle Registry,15.0,15.0,30.0,70.0
WholesaleHub B2B,20.0,10.0,30.0,70.0
SkillBarter Exchange,15.0,12.0,27.0,73.0
EventTicket DAO,18.0,10.0,28.0,72.0
EnergyTrading P2P,18.0,10.0,28.0,72.0
MedicalData Exchange,18.0,10.0,28.0,72.0
IdentityVerify Network,16.0,12.0,30.0,70.0
EmissionTracker Protocol,15.0,45.0,60.0,40.0
VotingChain Governance,18.0,10.0,28.0,72.0
QualityAssurance Token,20.0,15.0,35.0,65.0
PropertyInsurance Crypto,18.0,15.0,33.0,67.0
CustomerLoyalty Web3,18.0,10.0,28.0,72.0
WaterRights Trading,20.0,15.0,35.0,65.0
EducationCredit Token,15.0,12.0,27.0,73.0
